ProgID,OrgName,ProgName,HEPgoal,IndicGrp,Indicator,ProgObjectv,QAPP,SpatExtnt,TempExtnt,Freq,Reference,Contact
HEPcac,NY-NJ Harbor & Estuary Program,Citizen Advisory Committee Civic Science Survey,Community Engagement,Citizen Science,Participation in Citizen Science,Understanding the breath and depth of citizen science in the Hudson-Raritan Estuary,,Harbor Estuary,Varies,1x,www.hudsonriver.org/PublicAccess-Draft_Print-Full_smallerfile.pdf,"Elizabeth Balladares, 212-483-7667, eballadares@hudsonriver.org"
FSstew,US Dept. Agriculture Forest Service,STEW-MAP,Community Engagement,Civic Engagement,Capacity of Stewardship Organizations,To understand and strengthen civic capacity to take care of our neighborhoods,,New York City,2007-2017,Variable,https://www.nrs.fs.fed.us/STEW-MAP/; http://www.oasisnyc.net/stewardship/stewardshipsearch.aspx,"Laura Landau, 212-637-3576, lauralandau.ufs@gmail.com"
HSCbayshor,Bayshore Regional Watershed Council,Horseshoe Crab Monitoring,Habitat and Ecological Health,Shorelines,Horseshoe Crab Abundance,Horseshoe mating activities,,Sandy Hook Bay & Raritan Bay - 5 sites,2009-2016,Annually,http://www.restoreraritanbay.org/horseshoe-crab-monitoring.html,"Joseph Reynolds, 732-872-2834, bayshorewatershed@comcast.net"
BOPORS,Billion Oyster Project,Oyster monitoring,Habitat and Ecological Health,Marine,Established Oyster Beds,"Civic scientists monitoring for oyster growth, mortality, and biodiversity",,"Upper/Lower NY, Jamaica & Raritan Bays; Hudson, East & Harlem Rivers - 50 sites (may have multiple Oyster Research Stations)","Initiated 2010, ongoing","Monthly, 3x per year full protocol inspection",https://platform.bop.nyc/,"Katie Mosher, kmoshersmith@nyharbor.org"
HRNERRben,"Hudson River National Estuarine Research Reserve, NY State Dept. of Environmental Conservation",Hudson River Estuary Benthic Maps,Habitat and Ecological Health,Marine,Benthic Index of Biotic Integrity,Mapping benthic habitats in the Hudson Raritan Estuary,,Hudson Troy-Hastings,1998-2004,,https://gis.ny.gov/gisdata/inventories/details.cfm?DSID=1136,"Sarah Fernald, 845-889-4745 x111, sarah.fernald@dec.ny.gov"
HRNERRsav,"Hudson River National Estuarine Research Reserve, NY State Dept. of Environmental Conservation",Hudson River Estuary Documented Submerged Aquatic Vegetation (SAV),Habitat and Ecological Health,Shorelines,Submerged Aquatic Vegetation,Map SAV in the Hudson-River Estuary,,Hudson Troy-Hastings,"1997, 2002, 2007, 2014",,https://gis.ny.gov/gisdata/inventories/details.cfm?DSID=1209,"Sarah Fernald, 845-889-4745 x111, sarah.fernald@dec.ny.gov"
HRNERRtid,"Hudson River National Estuarine Research Reserve, NY State Dept. of Environmental Conservation",Hudson River Estuary Tidal Wetlands,Habitat and Ecological Health,Wetlands,Area of Wetlands,Map tidal wetlands in Hudson-Raritan Estuary,,Hudson Troy-Hastings,2007,,https://gis.ny.gov/gisdata/inventories/details.cfm?DSID=1210,"Sarah Fernald, 845-889-4745 x111, sarah.fernald@dec.ny.gov"
HRNERRsavv,"Hudson River National Estuarine Research Reserve, NY State Dept. of Environmental Conservation, Cary Institute",SAV Volunteer Monitoring Program,Habitat and Ecological Health,Shorelines,Submerged Aquatic Vegetation,Assess SAV dynamics between mapping inventories,,Hudson Troy-Hastings,"Initiated 2003, ongoing",Annually,https://www.caryinstitute.org/science-program/research-projects/hudson-river-habitats-submersed-aquatic-vegetation/submersed,"Sarah Fernald, 845-889-4745 x111, sarah.fernald@dec.ny.gov"
AMNET,NJ Dept. of Environmental Protection,Ambient Macroinvertebrate Network (AMNET),Habitat and Ecological Health,Marine,Benthic Index of Biotic Integrity,Rate the stream health based on the composition of the macroinvertebrate community,"QAPP 2016, 2017",New Jersey - 300 sites,"1992-2010, ongoing",Every 5 years for each five major Water Regions,http://www.state.nj.us/dep/wms/bfbm/amnet.html,"Michele Potter, 609-633-3840"
NJDEPibi,NJ Dept. of Environmental Protection,Fish Index of Biotic Integrity,Habitat and Ecological Health,Riparian,Stream Health Bioassessment,Measures the health of a stream based on multiple attributes (metrics) of the resident fish assemblage,,New Jersey,"Initiated 2000, ongoing",Every 5 years,https://www.waterqualitydata.us/,"Leigh Lager, Leigh.Lager@dep.nj.gov"
DECanafish,NY State Dept. of Environmental Conservation,Division of Marine Resources: Anadromous Fish,Habitat and Ecological Health,Marine,Estuarine & Diadromous Fish Abundance,Managing diadromous fishes,,Hudson River (Troy to George Washington Bridge) - 152 miles,"Initiated 1983, ongoing","Bi-weekly, June-Nov",https://www.dec.ny.gov/animals/6945.html,HudsonRiverFish@dec.ny.gov
DECstream,NY State Dept. of Environmental Conservation,Rotating Integrating Basin Studies,Habitat and Ecological Health,Riparian,Stream Health Bioassessment,Assessment of stream health,QAPP 2018,Each major watershed in NY,"Initiated 1972, ongoing","Every 5 years, varies",https://www.dec.ny.gov/chemical/23847.html,"Brian Duffy, DOWinformation@dec.ny.gov; Alene Onion, wave@dec.ny.gov"
DECwhale,"NY State Dept. of Environmental Conservation, NY Natural Heritage Program",New York Bight Whale Monitoring Aerial Surveys,Habitat and Ecological Health,Marine,Whale & Dolphin Abundance,"Estimate density/abundance of North Atlantic right, fin, humpback, sei, sperm, and blue whales; other marine mammals and sea turtles",Protocol Available,"NY Bight - 43,449 sq km from South shore of Long Island to the continental shelf break",2017- 2020,Monthly,https://www.dec.ny.gov/lands/113647.html,"Meghan Rickard, meghan.rickard@dec.ny.gov"
DEChsc,"NY State Dept. of Environmental Conservation, Cornell University, NYC Audubon",Horseshoe crab spawning survey,Habitat and Ecological Health,Shorelines,Horseshoe Crab Abundance,Monitoring horseshoe crabs,Protocol Available,"Jamaica Bay (4 sites), Coney Island (2 sites), Staten Island (2 sites)","Initiated 2007, ongoing",Annually,http://nyhorseshoecrab.org/NY_Horseshoe_Crab/Home.html,"Kim McKown, kim.mckown@dec.ny.gov"
NYCaudubon,NYC Audubon,Harbor Herons Project,Habitat and Ecological Health,Wetlands,Nesting Pairs of Harbor Herons,"Survey of long-legged wading bird, cormorant, and gull nesting activity",Yes,"David'sí Island, Isle of Meadows, Prallís, Shooters Islands, Canarsie Poll, Ruffle Bar - 20 sites","Initiated 1982, ongoing","Annually, May-July, varies",http://www.nycaudubon.org/issues-of-concern/harbor-herons,"Tod Winston, twinston@nycaudubon.org; Susan Elbin, selbin@nycaudubon.org"
NYCfish,NYC Parks,Post fish stocking & River Herring Fish Ladder Monitoring,Habitat and Ecological Health,Marine,Estuarine & Diadromous Fish Abundance,Survival rate of fish stocking in Bronx River and post-installation monitoring of fish ladder,,Bronx Park,2017-2020,Daily,https://www.nycgovparks.org/greening/natural-resources-group/bronx-river-wetlands/history-and-future/wetland-restoration/anadromous-fish,"Danica Warns, 212.360.1446, Danica.Warns@parks.nyc.gov"
NYCcoastal,NYC Parks,Coastal Shoreline Monitoring/Mapping,Habitat and Ecological Health,Shorelines,Percent & Distribution of Natural Shorelines,Long-term monitoring of changes in coastal shoreline,,"Coney Island Beach, Conference House Park, Crescent Beach Park, New Drop Park, Rockaway Beach & South Beach Wetlands","Initiated 2015, ongoing",Annually,Please contact representative,"Jamie Ong, 212.360.1491, Jamie.ong@parks.nyc.gov"
TRPfish,The River Project,Fish Ecology Survey,Habitat and Ecological Health,Marine,Estuarine & Diadromous Fish Abundance,Fish abundance monitoring,,"Hudson River Park Piers 25, 26, 40",1993-2016,Annually,https://www.riverprojectnyc.org/fish-ecology/,"Nina Hitchings, nina@riverprojectnyc.org"
WHOIfish,"Woods Hole Oceanographic Institution, Wildlife Conservation Society, NOAA Northeast Fisheries Science Center",Autonomous Real-time Marine Mammal Detections,Habitat and Ecological Health,Marine,Whale & Dolphin Abundance,Near real-time information on whale presence,Protocol Available,NY Harbor,"Initiated 2016, ongoing",Continuous,http://dcs.whoi.edu/nyb0616/nyb0616.shtml; http://dcs.whoi.edu/nyb0218/nyb0218_buoy.shtml,"Mark Baumgartner, 508-289-2678, mbaumgartner@whoi.edu"
HEPcarp,"Hudson River Foundation, NY-NJ Harbor & Estuary Program",Contamination Assessment and Reduction Program (CARP),Port and Maritime,Toxics,"PCBs, PAHs in Sediment, Dioxins in Sediment, Metals in Sediment",To identify and quantify sources of contaminants of concern to the NY/NJ Harbor Estuary from dredged material; establish baseline levels of contaminants; predict future conditions,QAPP,"Hudson River (below Troy, NY), Passaic River, Hackensack River, Newark Bay, Upper NY Bay, East River, Kill van Kull, Arthur Kill, Lower Bay, Jamaica Bay, NY Bight",1999-2001,"Biennially, Spring, April-June; Fall, Oct-Nov; 2 weeks Sept",http://www.carpweb.org/main.html,"Jim Lodge, 212-483-7667,  jim@hudsonriver.org"
